,Date,Casualties
0,Jun-1956,1
1,Oct-1957,1
2,Jul-1959,2
3,Feb-1960,4
4,Aug-1960,1
5,Jan-1961,1
6,Mar-1961,7
7,Apr-1961,4
8,Jun-1961,1
9,Aug-1961,2
10,Dec-1961,1
11,Jan-1962,3
12,Feb-1962,12
13,Mar-1962,1
14,Apr-1962,6
15,May-1962,3
16,Jun-1962,3
17,Jul-1962,7
18,Aug-1962,1
19,Oct-1962,11
20,Nov-1962,4
21,Dec-1962,2
22,Jan-1963,14
23,Feb-1963,8
24,Mar-1963,6
25,Apr-1963,7
26,May-1963,6
27,Jun-1963,5
28,Jul-1963,7
29,Aug-1963,10
30,Sep-1963,5
31,Oct-1963,24
32,Nov-1963,7
33,Dec-1963,23
34,Jan-1964,14
35,Feb-1964,11
36,Mar-1964,17
37,Apr-1964,12
38,May-1964,15
39,Jun-1964,18
40,Jul-1964,17
41,Aug-1964,17
42,Sep-1964,11
43,Oct-1964,29
44,Nov-1964,19
45,Dec-1964,36
46,Jan-1965,18
47,Feb-1965,54
48,Mar-1965,22
49,Apr-1965,60
50,May-1965,89
51,Jun-1965,146
52,Jul-1965,103
53,Aug-1965,179
54,Sep-1965,150
55,Oct-1965,236
56,Nov-1965,545
57,Dec-1965,326
58,Jan-1966,401
59,Feb-1966,512
60,Mar-1966,563
61,Apr-1966,405
62,May-1966,591
63,Jun-1966,595
64,Jul-1966,561
65,Aug-1966,500
66,Sep-1966,532
67,Oct-1966,516
68,Nov-1966,641
69,Dec-1966,533
70,Jan-1967,637
71,Feb-1967,766
72,Mar-1967,1091
73,Apr-1967,885
74,May-1967,1396
75,Jun-1967,948
76,Jul-1967,1056
77,Aug-1967,683
78,Sep-1967,929
79,Oct-1967,904
80,Nov-1967,1132
81,Dec-1967,936
82,Jan-1968,1545
83,Feb-1968,2259
84,Mar-1968,1767
85,Apr-1968,1579
86,May-1968,2416
87,Jun-1968,1254
88,Jul-1968,991
89,Aug-1968,1313
90,Sep-1968,1183
91,Oct-1968,821
92,Nov-1968,916
93,Dec-1968,855
94,Jan-1969,985
95,Feb-1969,1301
96,Mar-1969,1552
97,Apr-1969,1021
98,May-1969,1455
99,Jun-1969,1244
100,Jul-1969,833
101,Aug-1969,959
102,Sep-1969,663
103,Oct-1969,600
104,Nov-1969,658
105,Dec-1969,509
106,Jan-1970,529
107,Feb-1970,568
108,Mar-1970,624
109,Apr-1970,730
110,May-1970,917
111,Jun-1970,560
112,Jul-1970,495
113,Aug-1970,452
114,Sep-1970,363
115,Oct-1970,317
116,Nov-1970,347
117,Dec-1970,271
118,Jan-1971,259
119,Feb-1971,385
120,Mar-1971,429
121,Apr-1971,292
122,May-1971,202
123,Jun-1971,181
124,Jul-1971,118
125,Aug-1971,116
126,Sep-1971,127
127,Oct-1971,132
128,Nov-1971,109
129,Dec-1971,64
130,Jan-1972,47
131,Feb-1972,46
132,Mar-1972,68
133,Apr-1972,106
134,May-1972,113
135,Jun-1972,88
136,Jul-1972,53
137,Aug-1972,41
138,Sep-1972,36
139,Oct-1972,65
140,Nov-1972,21
141,Dec-1972,75
142,Jan-1973,29
143,Feb-1973,14
144,Mar-1973,1
145,Apr-1973,6
146,May-1973,2
147,Jun-1973,8
148,Jul-1973,2
149,Aug-1973,1
150,Sep-1973,2
151,Oct-1973,1
152,Nov-1973,1
153,Dec-1973,1
154,Nov-1974,1
155,Jan-1975,4
156,Apr-1975,16
157,May-1975,42
