Date,Casualties
May-68,2416
Feb-68,2259
Mar-68,1767
Apr-68,1579
Mar-69,1552
Jan-68,1545
May-69,1455
May-67,1396
Aug-68,1313
Feb-69,1301
Jun-68,1254
Jun-69,1244
Sep-68,1183
Nov-67,1132
Mar-67,1091
Jul-67,1056
Apr-69,1021
Jul-68,991
Jan-69,985
Aug-69,959
Jun-67,948
Dec-67,936
Sep-67,929
May-70,917
Nov-68,916
Oct-67,904
Apr-67,885
Dec-68,855
Jul-69,833
Oct-68,821
Feb-67,766
Apr-70,730
Aug-67,683
Sep-69,663
Nov-69,658
Nov-66,641
Jan-67,637
Mar-70,624
Oct-69,600
Jun-66,595
May-66,591
Feb-70,568
Mar-66,563
Jul-66,561
Jun-70,560
Nov-65,545
Dec-66,533
Sep-66,532
Jan-70,529
Oct-66,516
Feb-66,512
Dec-69,509
Aug-66,500
Jul-70,495
Aug-70,452
Mar-71,429
Apr-66,405
Jan-66,401
Feb-71,385
Sep-70,363
Nov-70,347
Dec-65,326
Oct-70,317
Apr-71,292
Dec-70,271
Jan-71,259
Oct-65,236
May-71,202
Jun-71,181
Aug-65,179
Sep-65,150
Jun-65,146
Oct-71,132
Sep-71,127
Jul-71,118
Aug-71,116
May-72,113
Nov-71,109
Apr-72,106
Jul-65,103
May-65,89
Jun-72,88
Dec-72,75
Mar-72,68
Oct-72,65
Dec-71,64
Apr-65,60
Feb-65,54
Jul-72,53
Jan-72,47
Feb-72,46
May-75,42
Aug-72,41
Sep-72,36
Dec-64,36
Jan-73,29
Oct-64,29
Oct-63,24
Dec-63,23
Mar-65,22
Nov-72,21
Nov-64,19
Jun-64,18
Jan-65,18
Jul-64,17
Aug-64,17
Mar-64,17
Apr-75,16
May-64,15
Jan-63,14
Jan-64,14
Feb-73,14
Apr-64,12
Feb-62,12
Oct-62,11
Sep-64,11
Feb-64,11
Aug-63,10
Feb-63,8
Jun-73,8
Nov-63,7
Mar-61,7
Jul-63,7
Jul-62,7
Apr-63,7
Apr-73,6
May-63,6
Mar-63,6
Apr-62,6
Sep-63,5
Jun-63,5
Apr-61,4
Jan-75,4
Nov-62,4
Feb-60,4
Jan-62,3
Jun-62,3
May-62,3
Dec-62,2
Sep-73,2
May-73,2
Aug-61,2
Jul-59,2
Jul-73,2
Dec-73,1
Aug-73,1
Aug-62,1
Aug-60,1
Jun-61,1
Jun-56,1
Mar-62,1
Nov-90,1
Dec-61,1
Nov-74,1
Nov-73,1
Oct-73,1
Oct-57,1
Mar-73,1
Sep-87,1
Jan-61,1
